STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MK,North Macedonia,2020,,-0.66,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MK,North Macedonia,2021,,0.45,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MK,North Macedonia,2022,,0.20,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MK,North Macedonia,2023,,0.10,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MK,North Macedonia,2024,,0.23,,e,estimated,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MT,Malta,2020,,4.31,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MT,Malta,2021,,-0.31,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MT,Malta,2022,,-1.97,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MT,Malta,2023,,0.38,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",MT,Malta,2024,,-0.12,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NL,Netherlands,2020,,-0.47,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NL,Netherlands,2021,,0.09,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NL,Netherlands,2022,,0.48,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NL,Netherlands,2023,,0.12,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NL,Netherlands,2024,,0.05,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NO,Norway,2020,,-0.28,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NO,Norway,2021,,0.15,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NO,Norway,2022,,0.16,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NO,Norway,2023,,0.05,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",NO,Norway,2024,,-0.05,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PL,Poland,2020,,0.00,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PL,Poland,2021,,-0.08,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PL,Poland,2022,,0.10,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PL,Poland,2023,,0.15,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PL,Poland,2024,,0.03,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PT,Portugal,2020,,-0.42,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PT,Portugal,2021,,0.03,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PT,Portugal,2022,,0.45,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PT,Portugal,2023,,0.07,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",PT,Portugal,2024,,0.02,,d,definition differs (see metadata),,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RO,Romania,2020,,-0.67,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RO,Romania,2021,,0.06,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RO,Romania,2022,,0.22,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RO,Romania,2023,,0.14,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RO,Romania,2024,,0.19,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RS,Serbia,2020,,-0.20,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RS,Serbia,2021,,0.36,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RS,Serbia,2022,,0.31,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RS,Serbia,2023,,0.08,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",RS,Serbia,2024,,0.20,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SE,Sweden,2020,,-0.31,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SE,Sweden,2021,,0.07,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SE,Sweden,2022,,0.36,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SE,Sweden,2023,,0.09,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SE,Sweden,2024,,0.06,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SI,Slovenia,2020,,-0.34,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SI,Slovenia,2021,,0.13,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SI,Slovenia,2022,,0.31,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SI,Slovenia,2023,,0.00,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SI,Slovenia,2024,,0.05,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SK,Slovakia,2020,,-1.03,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SK,Slovakia,2021,,1.01,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SK,Slovakia,2022,,-0.92,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SK,Slovakia,2023,,0.00,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",SK,Slovakia,2024,,-0.02,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",UA,Ukraine,2020,,-0.25,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",UA,Ukraine,2021,,0.11,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",UA,Ukraine,2022,,-0.34,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",UA,Ukraine,2023,,0.15,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",XK,Kosovo*,2020,,-0.04,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",XK,Kosovo*,2021,,0.03,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",XK,Kosovo*,2022,,0.02,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",XK,Kosovo*,2023,,0.03,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",XK,Kosovo*,2024,,0.01,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2020,,184.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2021,,225.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2022,,303.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2023,,394.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2024,,480.2,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2020,,7835.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2021,,8210.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2022,,10002.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2023,,11135.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2024,,11826.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2020,,421.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2021,,494.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2022,,612.5,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2023,,697.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2024,,745.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2020,,6918.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2021,,7947.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2022,,9231.6,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2023,,9794.2,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2024,,10370.8,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BG,Bulgaria,2020,,1064.6,,,,,
